bus,total_rides
1030897,1757282
1091387,1757260
1085729,1757152
1006636,1756846
1090369,1756824
1017656,1756563
1038903,1756530
953384,1756446
1108988,1756330
957372,1756165
1037776,1756147
1073275,1756114
1046515,1756084
1085367,1756034
1100107,1756012
1095253,1755924
1030264,1755823
1080112,1755739
1047012,1755615
1082583,1755384
1080412,1755372
936814,1755086
1090847,1754888
1092014,1754744
1021386,1754566
1032675,1754489
916453,1754321
1041165,1754270
1038686,1754193
948999,1754090
1023402,1753913
1036334,1753792
1003275,1753786
947682,1753724
995042,1753699
1053131,1753667
947457,1753605
995467,1753400
1105899,1753301
1040338,1753208
1027443,1753203
1050239,1753129
955058,1752614
1011461,1752538
1114418,1752394
1098830,1752391
928707,1752368
950690,1752237
1016872,1751780
1051869,1751776
1008764,1751737
1088752,1751665
982644,1751618
1019457,1751595
998699,1751533
1081900,1751482
1032787,1751354
967800,1751283
1024910,1751282
1092082,1751260
945847,1751207
1012672,1751198
1023477,1751166
972502,1750958
1061189,1750874
1051712,1750447
1032337,1750372
1054882,1750366
1033004,1750118
999388,1750075
1084935,1749896
1085546,1749743
1026379,1749732
1076270,1749703
1009778,1749588
930236,1749522
1097367,1749472
1081915,1749134
1087144,1749082
1072218,1748830
895702,1748796
957218,1748617
1003797,1748602
936306,1748536
994973,1748471
1013994,1748418
1094889,1748223
1013654,1747888
1093423,1747807
941118,1747761
1095425,1747749
940609,1747674
1017895,1747510
1035064,1747352
1024173,1747213
1055911,1747033
1097500,1747013
1071031,1746896
964141,1746894
929062,1746778
1098350,1746748
931276,1746594
958922,1746490
1022323,1746392
1064774,1746155
1120482,1746122
1070549,1746119
1036505,1746044
1074139,1745628
1087614,1745493
930083,1745384
1092576,1745300
1077276,1745242
1013485,1745174
1072949,1745104
1111775,1745041
1023297,1745036
1083689,1745020
1037191,1744760
949925,1744693
1001845,1744679
1078827,1744317
1023348,1744310
915489,1744301
1090598,1744232
1088616,1744072
1091930,1743964
1041367,1743953
1001837,1743822
1080803,1743784
1077279,1743582
953310,1743520
939372,1743485
957032,1743324
973681,1743133
956395,1742896
959511,1742863
996072,1742858
1088015,1742853
1084713,1742679
956055,1742629
946490,1742573
974240,1742418
959483,1742382
1016429,1742379
1064215,1742108
1094714,1742057
951886,1741874
916953,1741725
1005567,1741711
1024709,1741647
1059114,1741518
1088066,1741499
1075443,1741497
1087248,1741404
1030602,1741386
1088750,1741260
1038790,1741081
939282,1740980
967197,1740831
923564,1740731
1044501,1740663
1082611,1740397
1071110,1740324
1032439,1740260
999444,1740164
910415,1739915
1011858,1739905
956982,1739846
1088521,1739753
993124,1739744
1017072,1739545
1070397,1739526
1055021,1739496
961152,1739494
1091041,1739469
1084190,1739458
1019381,1739355
1032120,1739330
1053577,1739320
1092341,1739281
1030542,1739234
947220,1739119
1073100,1738985
1087003,1738754
959387,1738613
965833,1738560
1026737,1738522
1073415,1738406
1027404,1738361
1060364,1738357
1064058,1738349
962802,1738267
1095720,1738221
1038157,1738083
1009440,1738073
937187,1738072
1052301,1737827
1031742,1737733
1010279,1737433
1004620,1737326
1016435,1737166
914286,1737141
1031215,1737093
910794,1736967
966071,1736956
1075781,1736873
997873,1736839
1015665,1736823
942676,1736766
1056228,1736704
952475,1736676
1062280,1736635
1098574,1736580
1078342,1736362
938834,1736298
1014156,1735854
1055167,1735535
935537,1735425
982894,1735419
1047595,1735241
923927,1735104
933196,1735082
929741,1734885
1020960,1734738
